favorite_count,id,retweet_count
36421,892420643555336193,7744
31363,892177421306343426,5736
23636,891815181378084864,3798
39733,891689557279858688,7902
37922,891327558926688256,8538
19096,891087950875897856,2853
11124,890971913173991426,1863
61373,890729181411237888,17287
26298,890609185150312448,3937
30040,890240255349198849,6737
28919,890006608113172480,6730
26279,889880896479866881,4575
45301,889665388333682689,9173
25492,889638837579907072,4122
14261,889531135344209921,2067
23740,889278841981685760,4895
27450,888917238123831296,4130
24102,888804989199671297,3897
18633,888554962724278272,3195
20517,888078434458587136,3173
28495,887705289381826560,4935
43692,887517139158093824,10788
64868,887473957103951883,16523
31706,887343217045368832,9608
28859,887101392804085760,5462
32971,886983233522544640,7044
11304,886736880519319552,2948
21173,886680336477933568,4093
19953,886366144734445568,2905
113,886267009285017600,4
26393,886258384151887873,5791
0,886054160059072513,100
30702,885984800019947520,6165
33901,885528943205470208,5859
19326,885518971528720385,3424
0,885311592912609280,17004
20641,885167619883638784,4012
72735,884925521741709313,16616
26246,884876753390489601,5130
22900,884562892145688576,4313
25521,884441805382717440,5221
68494,884247878851493888,18679
19233,884162670584377345,2744
20597,883838122936631299,3155
43214,883482846933004288,9068
21390,883360690899218434,3400
34991,883117836046086144,6088
22535,882992080364220416,3569
26656,882762694511734784,4487
26384,882627270321602560,5581
42288,882268110199369728,10626
27639,882045870035918850,4489
22946,881906580714921986,3118
47746,881666595344535552,9808
120,881633300179243008,7
46634,881536004380872706,14666
21906,881268444196462592,4829
16101,880935762899988482,2561
20084,880872448815771648,3516
26881,880465832366813184,5726
25441,880221127280381952,3826
26066,880095782870896641,3988
21093,879862464715927552,3214
297,879674319642796034,10
22143,879492040517615616,2928
99792,879415818425184262,40780
15859,879376492567855104,2869
0,879130579576475649,6251
21268,879050749262655488,4309
17922,879008229531029506,2470
18277,878776093423087618,3757
28459,878604707211726852,6547
0,878404777348136964,1184
0,878316110768087041,6129
7294,878281511006478336,1184
39754,878057613040115712,6251
74894,877736472329191424,17448
0,877611172832227328,74
21448,877556246731214848,3503
25884,877316821321428993,4782
25611,877201837425926144,5142
19539,876838120628539392,3067
22327,876537666061221889,4316
17741,876484053909872640,2189
26450,876120275196170240,4301
23795,875747767867523072,3938
20719,875144289856114688,4530
25960,875097192612077568,5605
24102,875021211251597312,4354
26304,874680097055178752,4272
0,874434818259525634,13420
24659,874296783580663808,3792
21498,874057562936811520,3672
32511,874012996292530176,9493
22937,873580283840344065,3629
0,873337748698140672,1474
6792,873213775632977920,1474
25881,872967104147763200,5021
13981,872820683541237760,3442
19657,872620804844003328,3383
38645,872486979161796608,8373
32596,872122724285648897,7509
35737,871879754684805121,10228
19213,871762521631449091,3238
19167,871515927908634625,3229
0,871166179821445120,5309
19878,871102520638267392,5128
21622,871032628920680449,3561
31999,870804317367881728,5760
117,870726314365509632,3
11769,870656317836468226,2463
78940,870374049280663552,24665
20851,870308999962521604,3871
34814,870063196459192321,7760
40507,869772420881756160,9429
26925,869702957897576449,5889
15241,869596645499047938,2921
19475,869227993411051520,3538
62452,868880397819494401,13497
0,868639477480148993,1943
25483,868622495443632128,4963
9624,868552278524837888,1943
23127,867900495410671616,3921
32480,867774946302451713,6902
15387,867421006826221569,2336
0,867072653475098625,113
30830,867051520902168576,7400
19186,866720684873056260,4502
18471,866686824827068416,3275
117035,866450705531457537,33158
50208,866334964761202691,13420
0,866094527597207552,7901
24587,865718153858494464,5295
25394,865359393868664832,4718
26886,865006731092295680,7259
30995,864873206498414592,8206
13997,864279568663928832,2850
28830,864197398364647424,8365
19787,863907417377173506,3913
14674,863553081350529029,3961
0,863471782782697472,2300
22893,863432100342583297,4961
2134,863427515083354112,91
8451,863079547188785154,1051
8144,863062471531167744,2300
18473,862831371563274240,4875
16461,862722525377298433,3352
19702,862457590147678208,4679
71541,862096992088072192,21991
34790,861383897657036800,10185
16552,861288531465048066,3931
16115,861005113778896900,3635
0,860981674716409858,2043
0,860924035999428608,763
7236,860563773140209665,2043
22825,860524505164394496,5062
17745,860276583193509888,3337
16117,860184849394610176,5571
0,860177593139703809,29496
18926,859924526012018688,3916
14928,859851578198683649,3352
18009,859607811541651456,1491
86896,859196978902773760,28813
32767,859074603037188101,13037
0,858860390427611136,7775
15101,858843525470990336,3340
20842,858471635011153920,4649
15281,858107933456039936,2791
15613,857989990357356544,2494
33259,857746408056729600,10208
5720,857393404942143489,1576
19482,857263160327368704,4346
220,857214891891077121,17
0,857062103051644929,164
18355,857029823797047296,3842
15884,856543823941562368,2778
11554,856526610513747968,1809
0,856330835276025856,646
503,856288084350160898,15
27045,856282028240666624,6075
333,855862651834028034,25
4819,855860136149123072,944
11581,855857698524602368,2043
44603,855851453814013952,17422
26030,855818117272018944,5248
29148,855459453768019968,7956
0,855245323840757760,5784
0,855138241867124737,43
22270,854732716440526848,5898
28699,854482394044301312,6686
18501,854365224396361728,4557
31368,854120357044912130,7283
15914,854010172552949760,3067
28070,853760880890318849,5593
34092,853639147608842240,9814
15231,853299958564483072,3474
0,852936405516943360,1954
8897,852912242202992640,1781
14689,852672615818899456,2108
16061,852553447878664193,3399
32657,852311364735569921,9749
19691,852226086759018497,6706
11300,852189679701164033,1554
0,851861385021730816,20
16062,851591660324737024,3416
23952,851464819735769094,6929
20443,851224888060895234,5637
30471,850753642995093505,8996
12955,850380195714523136,2573
3422,850333567704068097,326
16155,850145622816686080,3741
20238,850019790995546112,4812
30191,849776966551130114,7506
0,849668094696017920,4889
15742,849412302885593088,3122
11325,849336543269576704,1878
41993,849051919805034497,8376
24991,848690551926992896,4266
24536,848324959059550208,4545
8120,848213670039564288,724
16208,848212111729840128,3009
0,847978865427394560,3222
0,847971574464610304,427
23363,847962785489326080,5029
5403,847842811428974592,1319
6950,847617282490613760,411
18663,847606175596138505,3391
20406,847251039262605312,4274
19777,847157206088847362,5799
21353,847116187444137987,3152
20020,846874817362120707,3899
44441,846514051647705089,11472
14042,846505985330044928,3043
31487,846153765933735936,8981
30927,846139713627017216,9942
15932,846042936437604353,2845
29165,845812042753855489,8638
25117,845677943972139009,4761
7620,845397057150107648,1796
23288,845306882940190720,5362
0,845098359547420673,7610
13598,844979544864018432,2549
15065,844973813909606400,3172
